number_particles:2,cluster_radius:1.000000,fractal_Dimention:inf,
number_particles:3,cluster_radius:1.414214,fractal_Dimention:3.169925,
number_particles:4,cluster_radius:2.000000,fractal_Dimention:2.000000,
number_particles:5,cluster_radius:3.000000,fractal_Dimention:1.464974,
number_particles:6,cluster_radius:3.000000,fractal_Dimention:1.630930,
number_particles:7,cluster_radius:3.162278,fractal_Dimention:1.690196,
number_particles:8,cluster_radius:4.123106,fractal_Dimention:1.467903,
number_particles:9,cluster_radius:4.123106,fractal_Dimention:1.551048,
number_particles:10,cluster_radius:5.099020,fractal_Dimention:1.413454,
number_particles:11,cluster_radius:5.385165,fractal_Dimention:1.424226,
number_particles:12,cluster_radius:5.385165,fractal_Dimention:1.475906,
number_particles:13,cluster_radius:5.830952,fractal_Dimention:1.454729,
number_particles:14,cluster_radius:5.830952,fractal_Dimention:1.496760,
number_particles:15,cluster_radius:5.830952,fractal_Dimention:1.535890,
number_particles:16,cluster_radius:5.830952,fractal_Dimention:1.572493,
number_particles:17,cluster_radius:5.830952,fractal_Dimention:1.606877,
number_particles:18,cluster_radius:5.830952,fractal_Dimention:1.639295,
number_particles:19,cluster_radius:6.403124,fractal_Dimention:1.585772,
number_particles:20,cluster_radius:6.403124,fractal_Dimention:1.613397,
number_particles:21,cluster_radius:6.403124,fractal_Dimention:1.639673,
number_particles:22,cluster_radius:6.403124,fractal_Dimention:1.664727,
number_particles:23,cluster_radius:6.403124,fractal_Dimention:1.688667,
number_particles:24,cluster_radius:7.211103,fractal_Dimention:1.608635,
number_particles:25,cluster_radius:7.211103,fractal_Dimention:1.629298,
number_particles:26,cluster_radius:7.211103,fractal_Dimention:1.649150,
number_particles:27,cluster_radius:7.211103,fractal_Dimention:1.668253,
number_particles:28,cluster_radius:7.211103,fractal_Dimention:1.686661,
number_particles:29,cluster_radius:7.211103,fractal_Dimention:1.704423,
number_particles:30,cluster_radius:7.211103,fractal_Dimention:1.721583,
number_particles:31,cluster_radius:7.211103,fractal_Dimention:1.738180,
number_particles:32,cluster_radius:8.062258,fractal_Dimention:1.660476,
number_particles:33,cluster_radius:8.944272,fractal_Dimention:1.595840,
number_particles:34,cluster_radius:8.944272,fractal_Dimention:1.609466,
number_particles:35,cluster_radius:8.944272,fractal_Dimention:1.622696,
number_particles:36,cluster_radius:8.944272,fractal_Dimention:1.635553,
number_particles:37,cluster_radius:8.944272,fractal_Dimention:1.648058,
number_particles:38,cluster_radius:9.486833,fractal_Dimention:1.616773,
number_particles:39,cluster_radius:9.486833,fractal_Dimention:1.628318,
number_particles:40,cluster_radius:9.486833,fractal_Dimention:1.639571,
number_particles:41,cluster_radius:9.486833,fractal_Dimention:1.650546,
number_particles:42,cluster_radius:9.486833,fractal_Dimention:1.661257,
number_particles:43,cluster_radius:9.486833,fractal_Dimention:1.671715,
number_particles:44,cluster_radius:9.486833,fractal_Dimention:1.681933,
number_particles:45,cluster_radius:9.486833,fractal_Dimention:1.691922,
number_particles:46,cluster_radius:9.486833,fractal_Dimention:1.701690,
number_particles:47,cluster_radius:9.848858,fractal_Dimention:1.683231,
number_particles:48,cluster_radius:9.848858,fractal_Dimention:1.692435,
number_particles:49,cluster_radius:9.848858,fractal_Dimention:1.701450,
number_particles:50,cluster_radius:9.848858,fractal_Dimention:1.710282,
number_particles:51,cluster_radius:9.848858,fractal_Dimention:1.718939,
number_particles:52,cluster_radius:9.848858,fractal_Dimention:1.727429,
number_particles:53,cluster_radius:10.440307,fractal_Dimention:1.692602,
number_particles:54,cluster_radius:10.440307,fractal_Dimention:1.700571,
number_particles:55,cluster_radius:10.440307,fractal_Dimention:1.708393,
number_particles:56,cluster_radius:10.440307,fractal_Dimention:1.716075,
number_particles:57,cluster_radius:10.440307,fractal_Dimention:1.723620,
number_particles:58,cluster_radius:10.440307,fractal_Dimention:1.731035,
number_particles:59,cluster_radius:10.440307,fractal_Dimention:1.738322,
number_particles:60,cluster_radius:10.440307,fractal_Dimention:1.745488,
number_particles:61,cluster_radius:10.440307,fractal_Dimention:1.752534,
number_particles:62,cluster_radius:10.440307,fractal_Dimention:1.759466,
number_particles:63,cluster_radius:10.440307,fractal_Dimention:1.766288,
number_particles:64,cluster_radius:10.440307,fractal_Dimention:1.773001,
number_particles:65,cluster_radius:10.440307,fractal_Dimention:1.779611,
number_particles:66,cluster_radius:10.770330,fractal_Dimention:1.762733,
number_particles:67,cluster_radius:10.770330,fractal_Dimention:1.769060,
number_particles:68,cluster_radius:10.816654,fractal_Dimention:1.772093,
number_particles:69,cluster_radius:10.816654,fractal_Dimention:1.778224,
number_particles:70,cluster_radius:10.816654,fractal_Dimention:1.784267,
number_particles:71,cluster_radius:10.816654,fractal_Dimention:1.790224,
number_particles:72,cluster_radius:10.816654,fractal_Dimention:1.796098,
number_particles:73,cluster_radius:10.816654,fractal_Dimention:1.801891,
number_particles:74,cluster_radius:10.816654,fractal_Dimention:1.807605,
number_particles:75,cluster_radius:11.401754,fractal_Dimention:1.773994,
number_particles:76,cluster_radius:11.401754,fractal_Dimention:1.779436,
number_particles:77,cluster_radius:11.401754,fractal_Dimention:1.784807,
number_particles:78,cluster_radius:11.401754,fractal_Dimention:1.790109,
number_particles:79,cluster_radius:11.401754,fractal_Dimention:1.795343,
number_particles:80,cluster_radius:11.401754,fractal_Dimention:1.800512,
number_particles:81,cluster_radius:11.401754,fractal_Dimention:1.805616,
number_particles:82,cluster_radius:11.401754,fractal_Dimention:1.810658,
number_particles:83,cluster_radius:11.401754,fractal_Dimention:1.815638,
number_particles:84,cluster_radius:11.401754,fractal_Dimention:1.820559,
number_particles:85,cluster_radius:11.704700,fractal_Dimention:1.805963,
number_particles:86,cluster_radius:11.704700,fractal_Dimention:1.810717,
number_particles:87,cluster_radius:11.704700,fractal_Dimention:1.815417,
number_particles:88,cluster_radius:12.206556,fractal_Dimention:1.789522,
number_particles:89,cluster_radius:12.206556,fractal_Dimention:1.794039,
number_particles:90,cluster_radius:12.206556,fractal_Dimention:1.798504,
number_particles:91,cluster_radius:12.206556,fractal_Dimention:1.802921,
number_particles:92,cluster_radius:12.649111,fractal_Dimention:1.781925,
number_particles:93,cluster_radius:12.649111,fractal_Dimention:1.786185,
number_particles:94,cluster_radius:12.649111,fractal_Dimention:1.790400,
number_particles:95,cluster_radius:12.649111,fractal_Dimention:1.794570,
number_particles:96,cluster_radius:12.649111,fractal_Dimention:1.798696,
number_particles:97,cluster_radius:12.649111,fractal_Dimention:1.802780,
number_particles:98,cluster_radius:12.649111,fractal_Dimention:1.806822,
number_particles:99,cluster_radius:12.649111,fractal_Dimention:1.810823,
number_particles:100,cluster_radius:12.649111,fractal_Dimention:1.814783,
number_particles:101,cluster_radius:12.806248,fractal_Dimention:1.809899,
number_particles:102,cluster_radius:12.806248,fractal_Dimention:1.813762,
number_particles:103,cluster_radius:12.806248,fractal_Dimention:1.817588,
number_particles:104,cluster_radius:12.806248,fractal_Dimention:1.821377,
number_particles:105,cluster_radius:12.806248,fractal_Dimention:1.825130,
number_particles:106,cluster_radius:12.806248,fractal_Dimention:1.828848,
number_particles:107,cluster_radius:12.806248,fractal_Dimention:1.832530,
number_particles:108,cluster_radius:12.806248,fractal_Dimention:1.836178,
number_particles:109,cluster_radius:12.806248,fractal_Dimention:1.839792,
number_particles:110,cluster_radius:12.806248,fractal_Dimention:1.843374,
number_particles:111,cluster_radius:12.806248,fractal_Dimention:1.846923,
number_particles:112,cluster_radius:12.806248,fractal_Dimention:1.850440,
number_particles:113,cluster_radius:13.453624,fractal_Dimention:1.818752,
number_particles:114,cluster_radius:13.453624,fractal_Dimention:1.822141,
number_particles:115,cluster_radius:13.453624,fractal_Dimention:1.825502,
number_particles:116,cluster_radius:13.453624,fractal_Dimention:1.828833,
number_particles:117,cluster_radius:13.453624,fractal_Dimention:1.832135,
